,Ticker,Current_Price,Fifty_Two_Week_Low,Fifty_Two_Week_High
0,AAL,15.25,11.93,22.35
1,AAL,15.25,11.93,22.35
2,AAL,15.25,11.93,22.35
3,AAL,15.25,11.93,22.35
4,AAP,202.53,164.0,244.55
5,AAP,202.53,164.0,244.55
6,AAP,202.53,164.0,244.55
7,AAP,202.53,164.0,244.55
8,AAPL,172.1,129.04,182.94
9,AAPL,172.1,129.04,182.94
10,AAPL,172.1,129.04,182.94
11,AAPL,172.1,129.04,182.94
12,ABBV,142.6,105.56,175.91
13,ABBV,142.6,105.56,175.91
14,ABBV,142.6,105.56,175.91
15,ABBV,142.6,105.56,175.91
16,ABC,150.5,113.68,167.19
17,ABC,150.5,113.68,167.19
18,ABC,150.5,113.68,167.19
19,ABC,150.5,113.68,167.19
20,ABT,111.48,101.24,142.6
21,ABT,111.48,101.24,142.6
22,ABT,111.48,101.24,142.6
23,ABT,111.48,101.24,142.6
24,ADBE,445.67,338.0,699.54
25,ADBE,445.67,338.0,699.54
26,ADBE,445.67,338.0,699.54
27,ADBE,445.67,338.0,699.54
28,ADI,179.26,138.5,191.95
29,ADI,179.26,138.5,191.95
30,ADI,179.26,138.5,191.95
31,ADI,179.26,138.5,191.95
32,ADM,86.6,58.44,98.88
33,ADM,86.6,58.44,98.88
34,ADM,86.6,58.44,98.88
35,ADM,86.6,58.44,98.88
36,ADS,0.0,0.0,0.0
37,ADS,0.0,0.0,0.0
38,ADS,0.0,0.0,0.0
39,ADS,0.0,0.0,0.0
40,ADSK,233.01,163.2,344.39
41,ADSK,233.01,163.2,344.39
42,ADSK,233.01,163.2,344.39
43,ADSK,233.01,163.2,344.39
44,AEE,94.83,80.27,99.2
45,AEE,94.83,80.27,99.2
46,AEE,94.83,80.27,99.2
47,AEE,94.83,80.27,99.2
48,AEP,103.78,80.22,104.81
49,AEP,103.78,80.22,104.81
50,AEP,103.78,80.22,104.81
51,AEP,103.78,80.22,104.81
52,AFL,64.03,51.28,67.2
