,Symbol,Company_Name,Industry,Market_Cap_Millions
0,A,Agilent Technologies,Life Sciences Tools & Services,35500
1,AA,Alcoa,Metals & Mining,7940
2,AAC,Ares Acquisition,Blank Check / SPAC,1230
3,AACG,ATA Creativity Global,Diversified Consumer Services,40
4,AACI,Armada Acquisition I,Blank Check / SPAC,204
5,AADI,Aadi Bioscience,Biotechnology,269
6,AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,91
7,AAL,American Airlines Group,Airlines,9400
8,AAMC,Altisource Asset Management,Real Estate Management & Development,21
9,AAME,Atlantic American,Insurance,54
10,AAN,The Aaron's Company,Specialty Retail,450
11,AAOI,Applied Optoelectronics,Communications Equipment,45
12,AAON,"AAON, Inc.",Building Products,2860
13,AAP,Advance Auto Parts,Specialty Retail,11440
14,AAPL,Apple,"Technology Hardware, Storage & Periph...",2430530
15,AAQC,Accelerate Acquisition,Blank Check / SPAC,489
16,AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2250
17,AATC,Autoscope Technologies,Scientific & Technical Instruments,27
18,AAU,Almaden Minerals,Metals & Mining,29
19,AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,1730
20,AB,AllianceBernstein Holding,Capital Markets,4090
21,ABB,ABB Ltd,Electrical Equipment,51600
22,ABBV,AbbVie,Biotechnology,271460
23,ABC,AmerisourceBergen,Health Care Providers & Services,29790
24,ABCB,Ameris Bancorp,Banks,2810
25,ABCL,AbCellera Biologics,Biotechnology,3000
26,ABCM,Abcam,Biotechnology,3130
27,ABEO,Abeona Therapeutics,Biotechnology,28
28,ABEV,Ambev,Beverages,43300
29,ABG,Asbury Automotive Group,Specialty Retail,3570
30,ABGI,ABG Acquisition I,Blank Check / SPAC,189
31,ABIO,ARCA biopharma,Biotechnology,35
32,ABM,ABM Industries,Commercial Services & Supplies,2840
33,ABMD,Abiomed,Health Care Equipment & Supplies,12240
34,ABNB,Airbnb,"Hotels, Restaurants & Leisure",60250
35,ABOS,Acumen Pharmaceuticals,Biotechnology,254
36,ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2220
37,ABSI,Absci,Biotechnology,313
38,ABST,Absolute Software,Software-Application,427
39,ABT,Abbott Laboratories,Health Care Equipment & Supplies,190540
40,ABTX,Allegiance Bancshares,Banks,807
41,ABUS,Arbutus Biopharma,Biotechnology,377
42,ABVC,ABVC BioPharma,Biotechnology,25
43,AC,Associated Capital Group,Capital Markets,835
44,ACA,Arcosa,Construction & Engineering,2210
45,ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,299
46,ACAC,Acri Capital Acquisition,Blank Check / SPAC,267
47,ACAD,ACADIA Pharmaceuticals,Biotechnology,2470
48,ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,422
49,ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,321
50,ACAX,Alset Capital Acquisition,Blank Check / SPAC,104
51,ACB,Aurora Cannabis,Pharmaceuticals,411
52,ACBA,Ace Global Business Acquisition,Blank Check / SPAC,62
53,ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,18040
54,ACCD,Accolade,Health Care Technology,657
55,ACCO,ACCO Brands,Commercial Services & Supplies,643
56,ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,375
57,ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1080
58,ACER,Acer Therapeutics,Pharmaceuticals,23
59,ACET,Adicet Bio,Health Care Providers & Services,727
60,ACEV,ACE Convergence Acquisition,Blank Check / SPAC,142
61,ACGL,Arch Capital Group,Insurance,16200
62,ACH,Aluminum Corporation of China,Metals & Mining,9920
63,ACHC,Acadia Healthcare Company,Health Care Providers & Services,6880
64,ACHL,Achilles Therapeutics,Biotechnology,108
65,ACHR,Archer Aviation,Aerospace & Defense,773
66,ACHV,Achieve Life Sciences,Biotechnology,51
67,ACI,Albertsons Companies,Grocery Stores,13860
68,ACII,Atlas Crest Investment II,Blank Check / SPAC,423
69,ACIU,AC Immune,Biotechnology,280
70,ACIW,ACI Worldwide,Software,3080
71,ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,157
72,ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,1860
73,ACLX,Arcellx,Biotechnology,729
74,ACM,AECOM,Construction & Engineering,9020
75,ACMR,ACM Research,Semiconductors & Semiconductor Equipment,928
76,ACN,Accenture,IT Services,171890
77,ACNB,ACNB Corporation,Banks,270
78,ACON,Aclarion,Health Information Services,6
79,ACOR,Acorda Therapeutics,Biotechnology,10
80,ACQR,Independence Holdings,Blank Check / SPAC,608
81,ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trust...,71
82,ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trust...,680
83,ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,418
84,ACRS,Aclaris Therapeutics,Pharmaceuticals,1010
85,ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,33
86,ACST,Acasti Pharma,Pharmaceuticals,39
87,ACT,Enact Holdings,Insurance-Specialty,3580
88,ACTD,ArcLight Clean Transition II,Shell Companies,399
89,ACTG,Acacia Research,Professional Services,224
90,ACU,Acme United,Commercial Services & Supplies,103
91,ACVA,ACV Auctions,Software-Application,1050
92,ACXP,Acurx Pharmaceuticals,Biotechnology,37
93,ADAG,Adagene,Biotechnology,84
94,ADAL,Anthemis Digital Acquisitions I,Blank Check / SPAC,300
95,ADAP,Adaptimmune Therapeutics,Biotechnology,277
96,ADBE,Adobe,Software,177770
97,ADC,Agree Realty,Equity Real Estate Investment Trusts ...,5650
98,ADCT,ADC Therapeutics,Communications Equipment,622
99,ADER,26 Capital Acquisition,Blank Check / SPAC,337
100,ADES,Advanced Emissions Solutions,Chemicals,85
101,ADEX,Adit EdTech Acquisition,Blank Check / SPAC,339
102,ADGI,Adagio Therapeutics,Biotechnology,441
103,ADI,Analog Devices,Semiconductors & Semiconductor Equipment,82110
104,ADIL,Adial Pharmaceuticals,Pharmaceuticals,41
105,ADM,Archer-Daniels-Midland Company,Food Products,40510
106,ADMA,ADMA Biologics,Biotechnology,451
107,ADMP,Adamis Pharmaceuticals,Pharmaceuticals,77
108,ADN,Advent Technologies Holdings,Utilities-Renewable,135
109,ADNT,Adient,Auto Components,2710
110,ADOC,Edoc Acquisition,Blank Check / SPAC,56
111,ADP,Automatic Data Processing,IT Services,89450
112,ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1360
113,ADRA,Adara Acquisition,Blank Check / SPAC,142
114,ADRT,Ault Disruptive Technologies,Blank Check / SPAC,144
115,ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,343
116,ADSK,Autodesk,Software,38290
117,ADT,ADT Inc.,Commercial Services & Supplies,6170
118,ADTH,AdTheorent Holding Company,Advertising Agencies,242
119,ADTN,ADTRAN Holdings,Communications Equipment,992
120,ADTX,Aditx,Biotechnology,7
121,ADUS,Addus HomeCare,Health Care Providers & Services,1450
122,ADV,Advantage Solutions,Advertising Agencies,1340
123,ADVM,Adverum Biotechnologies,Biotechnology,162
124,ADXN,Addex Therapeutics,Biotechnology,6
125,ADXS,Advaxis,Biotechnology,7
126,AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",138
127,AEAC,Authentic Equity Acquisition,Blank Check / SPAC,295
128,AEAE,AltEnergy Acquisition,Blank Check / SPAC,286
129,AEE,Ameren,Multi-Utilities,22660
130,AEG,Aegon,Insurance,8060
131,AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,134
132,AEHL,Antelope Enterprise Holdings,Building Products & Equipment,6
133,AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,220
134,AEI,Alset EHome International,Real Estate-Development,33
135,AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,2890
136,AEL,American Equity Investment Life Holding Company,Insurance,3200
137,AEM,Agnico Eagle Mines,Metals & Mining,19420
138,AEMD,Aethlon Medical,Health Care Equipment & Supplies,16
139,AENZ,Aenza,Engineering & Construction,248
140,AEO,American Eagle Outfitters,Specialty Retail,2000
141,AEP,American Electric Power Company,Electric Utilities,48900
142,AER,AerCap Holdings,Trading Companies & Distributors,9830
143,AERC,AeroClean Technologies,Pollution & Treatment Controls,170
144,AERI,Aerie Pharmaceuticals,Pharmaceuticals,387
145,AES,The AES Corporation,Independent Power and Renewable Elect...,13590
146,AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",59
147,AEVA,Aeva Technologies,Auto Parts,704
148,AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",17
149,AEYE,AudioEye,Software,67
150,AEZS,AEterna Zentaris,Biotechnology,28
151,AFAC,Arena Fortify Acquisition,Blank Check / SPAC,216
152,AFAQ,AF Acquisition,Blank Check / SPAC,274
153,AFAR,Aura FAT Projects Acquisition,Blank Check / SPAC,143
154,AFBI,Affinity Bancshares,Banks,97
155,AFCG,AFC Gamma,REIT-Specialty,307
156,AFG,American Financial Group,Insurance,11310
157,AFIB,Acutus Medical,Medical Devices,32
158,AFL,Aflac,Insurance,34980
159,AFMD,Affimed,Biotechnology,434
160,AFRI,Forafric Global,Farm Products,249
161,AFRM,Affirm Holdings,IT Services,6610
162,AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,302
163,AFYA,Afya Limited,Diversified Consumer Services,867
164,AG,First Majestic Silver,Metals & Mining,1810
165,AGAC,African Gold Acquisition,Blank Check / SPAC,507
166,AGBA,AGBA Acquisition,Blank Check / SPAC,53
167,AGCB,Altimeter Growth 2,Blank Check / SPAC,575
168,AGCO,AGCO Corporation,Machinery,6850
169,AGE,AgeX Therapeutics,Biotechnology,27
170,AGEN,Agenus,Biotechnology,814
171,AGFS,AgroFresh Solutions,Chemicals,81
172,AGFY,Agrify,Machinery,40
173,AGGR,Agile Growth,Blank Check / SPAC,379
174,AGI,Alamos Gold,Metals & Mining,2770
175,AGIL,AgileThought,Software-Application,239
176,AGIO,Agios Pharmaceuticals,Biotechnology,1220
177,AGL,agilon health,Medical Care Facilities,10730
178,AGLE,Aeglea Biotherapeutics,Biotechnology,28
179,AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1040
180,AGM.A,Federal Agricultural Mortgage,Credit Services,1050
181,AGMH,AGM Group Holdings,Capital Markets,45
182,AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6120
183,AGO,Assured Guaranty,Insurance,3500
184,AGR,Avangrid,Electric Utilities,17600
185,AGRI,AgriFORCE Growing Systems,Farm Products,31
186,AGRO,Adecoagro,Food Products,804
187,AGRX,Agile Therapeutics,Pharmaceuticals,21
188,AGS,PlayAGS,"Hotels, Restaurants & Leisure",170
189,AGTC,Applied Genetic Technologies,Biotechnology,23
190,AGTI,Agiliti,Health Information Services,2720
191,AGX,Argan,Construction & Engineering,502
192,AGYS,Agilysys,Software,1220
193,AHCO,AdaptHealth,Health Care Providers & Services,2700
194,AHG,Akso Health Group,Credit Services,25
195,AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1140
196,AHI,Advanced Human Imaging,Software-Application,15
197,AHPA,Avista Public Acquisition II,Blank Check / SPAC,290
198,AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,7
199,AHRN,Ahren Acquisition,Blank Check / SPAC,372
200,AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,282
201,AI,C3.ai,Software,2050
202,AIB,AIB Acquisition,Blank Check / SPAC,111
203,AIG,American International Group,Insurance,39670
204,AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,57
205,AIHS,Senmiao Technology,Consumer Finance,6
206,AIKI,AIkido Pharma,Biotechnology,32
207,AIM,AIM ImmunoTech,Biotechnology,36
208,AIMA,Aimfinity Investment I,Blank Check / SPAC,90
209,AIMC,Altra Industrial Motion,Machinery,2310
210,AIN,Albany International,Machinery,2500
211,AINC,Ashford,Capital Markets,44
212,AINV,Apollo Investment,Capital Markets,706
213,AIP,Arteris,Semiconductors,243
214,AIR,AAR Corp.,Aerospace & Defense,1470
215,AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,6550
216,AIRG,Airgain,"Electronic Equipment, Instruments & C...",85
217,AIRI,Air Industries Group,Aerospace & Defense,21
218,AIRS,AirSculpt Technologies,Medical Care Facilities,353
219,AIRT,Air T,Air Freight & Logistics,40
220,AIT,Applied Industrial Technologies,Trading Companies & Distributors,3480
221,AIU,Meta Data,Education & Training Services,22
222,AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,1070
223,AIZ,Assurant,Insurance,9030
224,AJG,Arthur J. Gallagher & Company,Insurance,34820
225,AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3220
226,AJX,Great Ajax,Mortgage Real Estate Investment Trust...,229
